hydrology.hyd: written by SWAT+ editor v2.3.3 on 2025-06-04 11:50 for SWAT+ rev.60.5.7
name                 lat_ttime       lat_sed       can_max          esco          epco   orgn_enrich   orgp_enrich       cn3_swf       bio_mix         perco      lat_orgn      lat_orgp        pet_co       latq_co  
hyd081                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd082                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd083                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd084                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd085                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd086                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd087                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd088                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd089                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd090                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd091                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd092                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd093                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd094                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd095                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd096                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd097                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd098                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd099                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd100                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd101                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd102                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd103                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd104                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd105                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd106                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd107                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd108                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd109                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd110                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd111                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd112                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd113                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd114                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd115                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd116                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd117                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd118                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd119                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd120                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd121                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd122                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd123                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd124                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd125                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd126                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd127                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd128                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd129                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd130                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd131                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd132                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd133                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd134                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd135                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd136                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.50000       0.00000       0.00000       1.00000       0.01000  
hyd137                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd138                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd139                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd140                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd141                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd142                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd143                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd144                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd145                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd146                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd147                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd148                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd149                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd150                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd151                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd152                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd153                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd154                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd155                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd156                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd157                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd158                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd159                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd160                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd161                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd162                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd163                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd164                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd165                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd166                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd167                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd168                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd169                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd170                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd171                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd172                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd173                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd174                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
hyd175                 lattime       0.00000       1.00000       escoval       epcoval       0.00000       0.00000       0.95000       0.20000       0.90000       0.00000       0.00000       1.00000       0.01000  
