filter,till,till_date,fert_comp,spr_fert,fert_date,sum_fert,fert_app,cover,TN_mean,TN_min,TN_max,TDP_mean,TDP_min,TDP_max,CY_mean,CY_min,CY_max
1,No Till,NA,28-10-10,500,1-Feb,1000,Injection,None,61.01675197,8.787141065,206.4056326,4.660261068,1.23366136,9.222711929,3.449704555,1.281603306,4.31220824
3,No Till,NA,28-10-10,500,1-Feb,1000,Injection,None,56.90628645,7.746588225,200.4199787,4.224627899,0.815086595,9.222711929,3.449704555,1.281603306,4.31220824
5,No Till,NA,28-10-10,500,1-Feb,1000,Injection,None,55.35966328,7.320509496,197.8129092,4.135777946,0.772126665,9.222711929,3.449704555,1.281603306,4.31220824
0,No Till,NA,28-10-10,500,1-Feb,1000,Broadcast,Winter Rye,115.8841034,15.16691464,290.9149366,10.11530848,4.931832561,16.65138202,3.449699581,1.281603306,4.31220824
1,No Till,NA,28-10-10,500,1-Feb,1000,Broadcast,Winter Rye,68.22211909,8.768284639,245.1639689,5.74523121,1.897613988,12.31160918,3.449699581,1.281603306,4.31220824
3,No Till,NA,28-10-10,500,1-Feb,1000,Broadcast,Winter Rye,63.98691959,8.27336154,245.1639689,5.397961645,1.604575529,12.31160918,3.449699581,1.281603306,4.31220824
5,No Till,NA,28-10-10,500,1-Feb,1000,Broadcast,Winter Rye,62.15915147,8.07690176,245.1639689,5.261196466,1.506069653,12.31160918,3.449699581,1.281603306,4.31220824
0,No Till,NA,28-10-10,1000,1-Feb,500,Injection,Winter Rye,105.8968455,11.06451053,284.0554155,6.434912471,2.933461118,9.210798153,3.44967559,1.281590037,4.31220824
1,No Till,NA,28-10-10,1000,1-Feb,500,Injection,Winter Rye,63.85460854,6.769666603,214.6647302,3.95228377,1.254984987,6.837251869,3.44967559,1.281590037,4.31220824
3,No Till,NA,28-10-10,1000,1-Feb,500,Injection,Winter Rye,59.29689692,6.309001527,208.6722859,3.559718957,0.844542391,6.669202433,3.44967559,1.281590037,4.31220824
5,No Till,NA,28-10-10,1000,1-Feb,500,Injection,Winter Rye,57.71695492,6.12791142,205.9982739,3.491977977,0.8002465,6.600405735,3.44967559,1.281590037,4.31220824
0,No Till,NA,28-10-10,1000,1-Feb,500,Injection,None,105.8968455,11.06451053,284.0554155,6.434912471,2.933461118,9.210798153,3.44967559,1.281590037,4.31220824
1,No Till,NA,28-10-10,1000,1-Feb,500,Injection,None,63.85460854,6.769666603,214.6647302,3.95228377,1.254984987,6.837251869,3.44967559,1.281590037,4.31220824
3,No Till,NA,28-10-10,1000,1-Feb,500,Injection,None,59.29689692,6.309001527,208.6722859,3.559718957,0.844542391,6.669202433,3.44967559,1.281590037,4.31220824
