filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
20,TRUE,1,26_13_00,280.21,2,0,       inject,TRUE,52,management_schedule_4.txt,3.30599811883979,0.740952246739183,0.447881142072333,1.8250882375
0,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,53,management_schedule_4.txt,6.73508841251753,1.39976573139936,0.669510204116063,1.8252189875
100,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,54,management_schedule_4.txt,3.66505881201105,0.790988185440839,0.469653285058694,1.8252189875
33.33333,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,55,management_schedule_4.txt,3.400336205108,0.754664674295074,0.45444037514693,1.8252189875
20,TRUE,15,26_13_00,280.21,2,0,       inject,TRUE,56,management_schedule_4.txt,3.30565365938987,0.741212552325112,0.448168277450945,1.8252189875
0,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,57,management_schedule_4.txt,6.75074686114185,1.2855121291896,0.555074972040851,1.8533668625
100,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,58,management_schedule_4.txt,3.68017124302226,0.704473318109744,0.383079539682804,1.8533668625
33.33333,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,59,management_schedule_4.txt,3.41538858051373,0.670365429623425,0.3700666125312,1.8533668625
20,TRUE,1,28_10_10,280.21,2,0,       inject,TRUE,60,management_schedule_4.txt,3.32089317578474,0.657734884944824,0.364666167342747,1.8533668625
0,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,61,management_schedule_4.txt,6.7501869129205,1.28601744505104,0.555767038515611,1.8534963625
100,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,62,management_schedule_4.txt,3.68003182373069,0.704705918325948,0.383372209816429,1.8534963625
33.33333,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,63,management_schedule_4.txt,3.41529693445059,0.670523839688897,0.370301659895529,1.8534963625
20,TRUE,15,28_10_10,280.21,2,0,       inject,TRUE,64,management_schedule_4.txt,3.32060834644214,0.657916869616848,0.364875349347225,1.8534963625
0,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,65,management_schedule_4.txt,6.60144926614943,0.934790923980443,0.212580699569919,1.4337744875
100,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,66,management_schedule_4.txt,3.52353059669159,0.446957332279514,0.13165191692193,1.4337744875
33.33333,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,67,management_schedule_4.txt,3.25755042035998,0.420013716204494,0.125636667464027,1.4337744875
20,TRUE,1,dairy_fr,280.21,2,0,       inject,TRUE,68,management_schedule_4.txt,3.16160427265017,0.410261458813351,0.12310000772171,1.4337744875
0,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,69,management_schedule_4.txt,6.59986164858553,0.935071976009906,0.212903206524267,1.4339494875
100,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,70,management_schedule_4.txt,3.52230747585037,0.447013001074904,0.131760185907851,1.4339494875
33.33333,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,71,management_schedule_4.txt,3.2569818674134,0.420024136780693,0.125732195354017,1.4339494875
20,TRUE,15,dairy_fr,280.21,2,0,       inject,TRUE,72,management_schedule_4.txt,3.16150419148252,0.410341730001504,0.123231528817915,1.4339494875
0,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,73,management_schedule_4.txt,6.92930616519964,1.89475909206504,1.16440147911726,2.1584372375
100,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,74,management_schedule_4.txt,3.85818328835118,1.16768738850974,0.846319283814373,2.1584372375
33.33333,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,75,management_schedule_4.txt,3.59339984769417,1.12235672563144,0.822081922229827,2.1584372375
20,TRUE,1,26_13_00,560.43,2,0,       inject,TRUE,76,management_schedule_4.txt,3.49886563485069,1.1051352673307,0.812084023905933,2.1584372375
0,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,77,management_schedule_4.txt,6.9287363227742,1.89623812412098,1.16608347224117,2.1585549875
100,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,78,management_schedule_4.txt,3.85802207981837,1.16818344182604,0.846878388542794,2.1585549875
33.33333,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,79,management_schedule_4.txt,3.59325646457239,1.12276712829628,0.822568488020746,2.1585549875
20,TRUE,15,26_13_00,560.43,2,0,       inject,TRUE,80,management_schedule_4.txt,3.4985305911962,1.10556484489899,0.812544197602961,2.1585549875
